general_assembly,bill,fiscal_year,kind,source,documents,fund_group,fund,line_item,title,amount
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200546,Charge-Off Supplement,7416349.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200547,Power Equalization,21830412.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200551,Reading Improvement,1520867.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200552,County MR/DD Boards Vehicle Purcha,1697525.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200553,County MR/DD Boards Transportation,7746790.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200558,Emergency Loan Interest Subsidy,7123596.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200560,Interactive Communication Information,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200566,OhioReads Grants,24970547.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200568,Adolescent Pregnancy Program,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200570,School Improvement Incentive Grants,9729800.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200572,Teacher Incentive Grants,111000.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200573,Character Education,1000000.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200574,Substance Abuse Prevention,2112000.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200577,Preschool Special Education,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200580,Bethel School Clean-Up,350000.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200589,Special Education Aides,0.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200901,Property Tax Allocation,622326432.00
124,hb94,2000,actual,hb94-greenbook,1,,GRF,200906,Tangible Tax Exemption-Education,65068924.00
124,hb94,2001,actual,hb94-greenbook,2,,017,200612,Base Cost Funding,628967000.00
124,hb94,2001,actual,hb94-greenbook,2,,017,200682,Lease Rental Payments Reimbursemen,59486000.00
124,hb94,2001,actual,hb94-greenbook,2,,017,200694,Bus Purchase One-Time Supplement,110536.00
124,hb94,2001,actual,hb94-greenbook,2,,020,200620,Vocational School Building Assistance,1650000.00
124,hb94,2001,actual,hb94-greenbook,2,,138,200606,Information Technology,3580430.00
124,hb94,2001,actual,hb94-greenbook,2,,309,200601,Educationally Disadvantaged,11764820.00
124,hb94,2001,actual,hb94-greenbook,2,,366,200604,Adult Basic Education,17188596.00
124,hb94,2001,actual,hb94-greenbook,2,,367,200607,School Food Services,8744567.00
124,hb94,2001,actual,hb94-greenbook,2,,368,200614,Veterans' Training,506460.00
124,hb94,2001,actual,hb94-greenbook,2,,369,200616,Vocational Education,7352141.00
124,hb94,2001,actual,hb94-greenbook,2,,370,200624,Education of Exceptional Children,1202380.00
124,hb94,2001,actual,hb94-greenbook,2,,371,200631,EEO Title IV,988258.00
124,hb94,2001,actual,hb94-greenbook,2,,374,200647,ESEA Consolidated Grants,71196.00
124,hb94,2001,actual,hb94-greenbook,2,,376,200653,Job Training Partnership Act,1343617.00
124,hb94,2001,actual,hb94-greenbook,2,,378,200660,Math/Science Technology Investments,14943819.00
124,hb94,2001,actual,hb94-greenbook,2,,3C5,200661,Federal Dependent Care Programs,18588983.00
124,hb94,2001,actual,hb94-greenbook,2,,3D1,200664,Drug Free Schools,13737056.00
124,hb94,2001,actual,hb94-greenbook,2,,3D2,200667,Honors Scholarship Program,1296610.00
124,hb94,2001,actual,hb94-greenbook,2,,3H9,200605,Head Start Collaboration Project,243635.00
124,hb94,2001,actual,hb94-greenbook,2,,3L6,200617,Federal School Lunch,158544020.00
