irn,name,county,fiscal_year,unrestricted_aid,restricted_aid,property_tax,income_tax,property_tax_allocation,total_revenue,total_revenue_and_sources,total_expenditure,beginning_cash,ending_cash
050641,North Central Local,Williams,2020,3756231,34712,2853488,0,375720,7945607,7978578,8069688,2244057,2152947
050641,North Central Local,Williams,2021,3826800,100267,2837675,0,361711,8111144,8182975,7907413,2152947,2428509
050641,North Central Local,Williams,2022,3757277,261122,2883726,0,349622,8070677,8177395,7706522,2428509,2899382
050641,North Central Local,Williams,2023,3855454,294540,2859512,0,344591,8292839,8337556,9234584,2899384,2002356
050641,North Central Local,Williams,2024,4358042,363050,2966243,0,344935,9154379,9193547,9164177,2002356,2031726
050641,North Central Local,Williams,2025,4080370,368482,3408963,0,391513,9543829,9582685,9196844,2031726,2417567
050658,Stryker Local,Williams,2020,3291336,54650,1419524,882987,211226,7189676,7214915,6293817,6080402,7001500
050658,Stryker Local,Williams,2021,3335997,54649,1438754,800942,210130,7060854,7079571,6165940,7001500,7915131
050658,Stryker Local,Williams,2022,3022664,254003,1427290,979203,212029,6759559,6760008,5881837,7915131,8793302
050658,Stryker Local,Williams,2023,3022307,270671,1499029,1062028,214613,7255636,7255636,6991076,8784248,9048808
050658,Stryker Local,Williams,2024,3027258,371536,1490041,1050540,214781,7502013,7502013,8212207,9048808,8338614
050658,Stryker Local,Williams,2025,2949260,416014,1738086,1106115,247377,7916072,7922383,8054589,8338614,8206408
050674,Eastwood Local,Wood,2020,5881216,64112,7048900,2352926,597459,17974841,18133999,18146552,9386876,9374323
050674,Eastwood Local,Wood,2021,6063834,68923,7649688,2343790,607515,19199805,19481701,18007763,9374323,10848261
050674,Eastwood Local,Wood,2022,6466460,361019,8022983,2566090,623369,19560205,19772993,18179360,10848261,12441894
050674,Eastwood Local,Wood,2023,6502318,336160,7680932,2796514,622967,19833336,19963006,20780459,12441894,11624441
050674,Eastwood Local,Wood,2024,6574998,383584,8369963,2766911,699695,21441456,21548904,21383534,11624441,11789811
050674,Eastwood Local,Wood,2025,6782410,350606,10400410,2935469,785164,23942278,24024475,24512132,11789811,11302154
050682,Elmwood Local,Wood,2020,6846462,210239,2722086,2009934,400536,17326902,17460831,16338312,4817252,5939771
050682,Elmwood Local,Wood,2021,6960941,164548,2772574,1996997,404873,16698138,16814103,15523819,5939771,7230055
050682,Elmwood Local,Wood,2022,7398601,206089,2730253,2335814,399381,15688722,15846384,15624177,7230055,7452262
050682,Elmwood Local,Wood,2023,7163356,348619,2630586,2897542,389270,16269453,16361136,16849930,7452113,6963319
050682,Elmwood Local,Wood,2024,7149584,458801,3218589,2566699,448103,16885797,17006994,17256855,6963319,6713459
050682,Elmwood Local,Wood,2025,7236742,426078,3572451,3130828,511222,17840363,18005710,17872737,6713459,6846432
050690,Lake Local,Wood,2020,5740995,44325,8637988,0,1906577,18232556,18450231,18019265,4244707,4675673
050690,Lake Local,Wood,2021,5828615,28290,8829162,0,1088667,18578449,18822967,18235889,4675673,5262751
050690,Lake Local,Wood,2022,6722312,-72197,9028523,0,1072561,18315080,18316245,18489750,5262751,5089246
