leaid,irn,state,comparable,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,property_tax,current_spending
5308940,,WA,1,1173,20561000,4135000,14439000,1987000,1661000,19030000
5308970,,WA,1,4276,81408000,15635000,59782000,5991000,3927000,73243000
5309000,,WA,1,203,5009000,334000,3412000,1263000,1164000,4535000
5309030,,WA,1,696,11630000,892000,8248000,2490000,1667000,9904000
5309060,,WA,1,192,3972000,537000,2858000,577000,417000,3776000
5309100,,WA,1,6425,121994000,10006000,75839000,36149000,33347000,99574000
5309180,,WA,1,5613,98184000,10322000,63540000,24322000,22736000,87531000
5309240,,WA,1,1330,16358000,736000,14182000,1440000,448000,13348000
5309270,,WA,1,21617,434258000,68308000,266320000,99630000,86218000,369361000
5309300,,WA,1,1519,30578000,3145000,17161000,10272000,9453000,25783000
5309330,,WA,1,457,7922000,836000,5888000,1198000,924000,7856000
5309360,,WA,1,2557,45816000,10305000,32731000,2780000,2021000,44053000
5309390,,WA,1,290,5203000,532000,3800000,871000,583000,4673000
5309450,,WA,1,5568,148479000,18154000,113095000,17230000,15053000,92980000
5309480,,WA,1,3231,62063000,17951000,41189000,2923000,2500000,58905000
5309510,,WA,1,921,16320000,3557000,11124000,1639000,1361000,14683000
5309540,,WA,1,2978,59411000,7221000,34400000,17790000,14842000,50723000
5309570,,WA,1,91,2692000,146000,2325000,221000,140000,2534000
5309600,,WA,1,239,6043000,1043000,4051000,949000,659000,5411000
5309630,,WA,1,389,12240000,4974000,6628000,638000,51000,12433000
