irn,district,distribution,counties,amount
000780,MIDNIMO CROSS CULTURAL MIDDLE,2015-08,1,2875.97
000781,CINCINNATI SPEECH,2015-08,2,6761.17
000804,HORIZON SCIENCE ACADEMY,2015-08,1,10091
000808,HORIZON SCIENCE ADADEMY DAYTON,2015-08,1,4114.29
000813,LIFE SKILLS CENTER OF DAYTON,2015-08,3,5957.41
000825,HORIZON SCIENCE ACADEMY,2015-08,1,9916.53
000838,HORIZON SCIENCE ACADEMY-,2015-08,2,7365.54
000843,BENNETT VENTURE ACADEMY,2015-08,2,19076.12
000855,STAMBAUGH CHARTER ACADEMY,2015-08,3,12679.47
000858,HORIZON SCIENCE ACAD CLEVELAND,2015-08,1,7113.27
000875,WESTSIDE ACADEMY INC,2015-08,1,4768.05
000905,IMAC INC,2015-08,2,1313.02
000912,ACADEMIC ACCELERATION ACADEMY,2015-08,2,4969.89
000930,CLEVELAND ENTREPRENEURSHIP,2015-08,1,7264.62
000936,PROMISE ACADEMY,2015-08,1,7188.95
000938,PREMIER ACADEMY OF OHIO,2015-08,1,2144.36
000941,PAR EXCELLENCE ACADEMY,2015-08,1,3358.57
000942,LAKEWOOD CITY ACADEMY,2015-08,1,4035.9
000946,CLEVELAND LIGHTHOUSE COMM.,2015-08,1,4641.28
000949,VILLAVIEW LIGHTHOUSE COMM.,2015-08,1,3682.76
000951,TOLEDO PREP. AND FITNESS ACAD,2015-08,1,4592.39
000952,COLUMBUS PREPARATORY,2015-08,1,7038.55
000953,CINCINNATI PREPARATORY &,2015-08,2,6130.31
007984,YOUNGSTOWN ACAD OF EXCELLENCE,2015-08,1,3998.74
007995,CLEVELAND ARTS  SCI.,2015-08,1,8273.6
007998,CENTER FOR STUDENT ACHIEVEMENT,2015-08,1,1367.47
007999,CHARLES SCHOOL,2015-08,4,8703.74
008000,MANSFIELD PREPARATORY ACADEMY,2015-08,1,7390.53
008063,LIFE SKILLS CTR OF NORTH AKRON,2015-08,1,2876.64
008064,ACADEMY OF ARTS,2015-08,1,4691.6
008251,MAHONING VALLEY,2015-08,1,2556.16
008278,NOBLE ACADEMY-CLEVELAND INC,2015-08,2,9383.49
008280,NOBLE ACADEMY-COLUMBUS INC,2015-08,1,7391.74
008281,SOUTH SCIOTO ACADEMY,2015-08,1,4692.37
008282,LIFE SKILLS CTR OF COL. NORTH,2015-08,2,2825.53
008283,DAYTON TECH. DESIGN HIGH SCH,2015-08,1,3912.37
008286,HARVARD AVE COMMUNITY SCHOOL,2015-08,2,13949.09
008287,GROVEPORT COMMUNITY SCHOOL,2015-08,2,19955.37
008289,EAGLE LEARNING CENTER INC,2015-08,3,2221.38
009122,COLUMBUS COLLEGIATE,2015-08,4,5575.42
009147,NORTHPOINTE ACADEMY,2015-08,1,9184.78
009148,ZANESVILLE COMM. HIGH SCH,2015-08,1,2585.73
009149,CONSTELLATION SCHOOLS WESTSIDE,2015-08,2,8979.89
009154,CINCINNATI LEADERSHIP ACADEMY,2015-08,2,4288.73
009163,CM GRANT LEADERSHIP ACADEMY,2015-08,2,2346.26
009164,CENTRAL ACADEMY OF OHIO,2015-08,1,4693.32
009171,STAR ACADEMY OF TOLEDO,2015-08,1,4138.2
009179,HORIZON SCIENCE ACADEMY INC,2015-08,2,10873.17
009181,CLAY AVENUE COMMUNITY SCHOOL,2015-08,1,12666.92
009192,FOUNDATION ACADEMY,2015-08,2,9317.42
009283,DAYTON EARLY COLLEGE ACAD.,2015-08,2,10929.53
009953,SULLIVANT AVE COMM. SCHOOL,2015-08,2,10873.18
009954,HARRISBURG PIKE COMM. SCHOOL,2015-08,1,9233.37
009955,MADISON AVENUE SCHOOL OF ARTS,2015-08,2,14206.2
009957,KLEPINGER COMMUNITY SCHOOL,2015-08,2,10626.48
009964,SCIOTOVILLE ELEMENTARY ACADEMY,2015-08,2,3490.71
009971,ASHLAND CTY COMM. ACADEMY,2015-08,5,2920.43
009990,HORIZON SCI. ACAD. ELEMENTARY,2015-08,1,13421.18
009996,MAHONING COUNTY HIGH SCHOOL,2015-08,3,2024.51
009997,KIPP CENTRAL OHIO,2015-08,3,15540.45
010007,HORIZON SCI. ACAD. DENISON,2015-08,1,4515.16
010036,CESAR CHAVEZ COLLEGE PREP.,2015-08,1,5878.07
010180,MOUNT AUBURN INT. ACAD.,2015-08,1,14152.63
